Title,Location,Size,Price in EUR,Rooms
"Dvoiposobni stan sa velikom tersom u kompleksu Vojvoda Residence, Vojvode Stepe",Voždovac,70,210000,2.0
"Vojvode Stepe, sa parking mestom ID#10180",Voždovac,60,185000,3.0
"Galenika, 2.5 stan ID#10159",Galenika,62,150000,3.0
"Mirijevo, 2.5 stan ID#10151",Mirijevo I,57,125000,3.0
Kompletno namešten stan ID#10102,Mirijevo I,54,138000,3.0
"Terazije, Balkanska, mereno 56.7m2 ID#9904111",Centar (uži),45,198000,3.0
"Bež.kosa III, bela fasadna cigla ID#9993",Bežanijska kosa III,65,199500,3.0
"Terazije, Balkanska, mereno 56.7m2 ID#9904",Terazije ( centar ),45,198000,3.0
"Centar, Dositejeva, mereno 57m2 ID#9821",Gornji Dorćol,49,237500,3.0
"Olimp, Milana Rakića, 71m2 ID#9549",Olimp,71,220000,3.0
"Zvezdara, odličan 2.5 stan, novogradnja ID#9517",Cvetkova pijaca,60,190000,3.0
"Blok 62, Jurija Gagarina, 68m2 ID#9488",Novi Beograd Blok 62,68,162000,3.0
Odlična lokacija na Lionu ID#9462,Lion,57,188000,3.0
"Stan je na odličnoj lokaciji, mereno 76m2 ID#9158",Dedinje (25. maj),57,214200,3.0
"Savski trg, mereno 80m2 ID#9095",Savski trg,57,185000,3.0
"Blok 28, 2s u zgradi televizorka ID#8942",Novi Beograd Blok 28 (Potkovica),66,184000,3.0
"Mirijevo, Ljubiše Miodragovića, 56m2 ID#8853",Mirijevo I,56,82000,3.0
Stan na odličnoj lokaciji ID#8520,Gornji Dorćol,67,310000,3.0
Izuzetan salonac u  starijoj zgradi ID#7824,Centar (uži),76,226000,3.0
"Odlična lokacija, mereno 57m2 ID#7794",Kalenić pijaca,53,189000,2.0
"Stepa Stepanović, Druge Srpske Armije ID#7725",Voždovac,86,228000,3.0
"Sumice,novogradnja 4,5  dupleks 124m2",Šumice,124,334800,4.0
"Sumice,novogradnja dupleks 5,0 stan 142m2",Šumice,142,383400,5.0
"Novi Beograd - Tošin bunar, 125m2, Tošin bunar",Tošin bunar,125,437675,4.0
"Stari grad, Skadarlija - Skadarska, 96m2, Skadarska",Skadarlija,96,380000,4.0
"Vračar, Čubura - Nikolaja Hartviga, 71m2, Nikolaja Hartviga",Čubura,71,354900,3.0
"Vračar, centar - Bulevar kralja Aleksandra, 123m2, Bulevar kralja Aleksandra",Vračar (Centar),123,320000,3.0
"Vračar, Crveni krst - Cerska, 105m2, Cerska",Crveni krst,105,280000,4.0
"Novi Beograd, Blok 61 - Dr Ivana Ribara, 78m2, Dr Ivana Ribara",Novi Beograd Blok 61,78,230000,3.0
"Palilula, Tašmajdan - Kneza Danila, 62m2, Kneza Danila",Tašmajdan,62,220000,3.0
"Vračar, Neimar 68,74m2 novogradnja + pdv ID#4128",Vračar (Hram),69,286036,3.0
Trosoban stan na Lekinom brdu 58m2 ID#4080,Lekino brdo,58,190000,3.0
"Lekino brdo 70,86m2 novogradnja + PDV ID#4022",Lekino brdo,71,226752,3.0
"Braće Jerković, trosoban stan 57m2 ID#3794",Braće Jerković,57,158990,3.0
"Braće Jerković, troiposoban stan 77,17m2 ID#4090",Braće Jerković,77,180000,4.0
"Savski venac, Resavska 99m2 salonac ID#4133",Klinički centar,99,380000,4.0
"Na par minuta od Banjice, četvorosoban stan 114m2 ID#4013",Jajinci,114,180000,4.0
"Vračar, Kalenić ,102m2 ID#4222",Kalenić pijaca,102,390000,4.0
"ODLIČNA PRILIKA, Voždovac, Medaković III, 4.0, 96m2 ID#3353",Medaković III,96,270000,4.0
"Sremčica, naselje Gorica, jednoiposoban stan, 40m2 ID#4943",Sremčica,40,70000,2.0
Jednoiposoban stan sa pogledom na Dunav 46m2 SUNNYVILL ID#4081,Višnjička banja,46,150000,2.0
"Sunnyville, jednoiposoban 44m2, Namešten ID#4085",Višnjička banja,44,137000,2.0
"Voždovac, Kumodraž, 45m2 ID#4092",Kumodraž I,45,87000,2.0
