Title,Location,Price,Size,Apartment Type
"Dvoiposobni stan sa velikom tersom u kompleksu Vojvoda Residence, Vojvode Stepe","Voždovac, Beograd, Srbija",210 000 €,70 m²,  Dvosoban stan
"Novi Beograd, blok 44 Nehruova, Lux, 6.0 VIsprt tri nivoa","Novi Beograd Blok 44 (Piramida), Beograd, Srbija",450 000 €,200 m²,  Petosoban+ stan
"Vojvode Stepe, sa parking mestom ID#10180","Voždovac, Beograd, Srbija",185 000 €,60 m²,  Trosoban stan
"Galenika, 2.5 stan ID#10159","Galenika, Beograd, Srbija",150 000 €,62 m²,  Trosoban stan
"Mirijevo, 2.5 stan ID#10151","Mirijevo I, Beograd, Srbija",125 000 €,57 m²,  Trosoban stan
"Čubura, lux novogradnja 71m2 ID#10120","Čubura, Beograd, Srbija",354 900 €,70.98 m²,  Trosoban stan
Kompletno namešten stan ID#10102,"Mirijevo I, Beograd, Srbija",138 000 €,54 m²,  Trosoban stan
"Terazije, Balkanska, mereno 56.7m2 ID#9904111","Centar (uži), Beograd, Srbija",198 000 €,45 m²,  Trosoban stan
"Bež.kosa III, bela fasadna cigla ID#9993","Bežanijska kosa III, Beograd, Srbija",199 500 €,65 m²,  Trosoban stan
Odlična novogradnja ID#9946,"Dušanovac, Beograd, Srbija",234 828 €,71.16 m²,  Trosoban stan
Odlična novogradnja ID#9945,"Dušanovac, Beograd, Srbija",200 442 €,60.74 m²,  Trosoban stan
"Terazije, Balkanska, mereno 56.7m2 ID#9904","Terazije ( centar ), Beograd, Srbija",198 000 €,45 m²,  Trosoban stan
Komforan stan bez ulaganja ID#9854,"Zemun (Gornji grad), Beograd, Srbija",179 000 €,56.5 m²,  Trosoban stan
"Centar, Dositejeva, mereno 57m2 ID#9821","Gornji Dorćol, Beograd, Srbija",237 500 €,49 m²,  Trosoban stan
"Olimp, Milana Rakića, 71m2 ID#9549","Olimp, Beograd, Srbija",220 000 €,71 m²,  Trosoban stan
"Zvezdara, odličan 2.5 stan, novogradnja ID#9517","Cvetkova pijaca, Beograd, Srbija",190 000 €,60 m²,  Trosoban stan
"Blok 62, Jurija Gagarina, 68m2 ID#9488","Novi Beograd Blok 62, Beograd, Srbija",162 000 €,68 m²,  Trosoban stan
Odlična lokacija na Lionu ID#9462,"Lion, Beograd, Srbija",188 000 €,57 m²,  Trosoban stan
"Stan je na odličnoj lokaciji, mereno 76m2 ID#9158","Dedinje (25. maj), Beograd, Srbija",214 200 €,57 m²,  Trosoban stan
"Savski trg, mereno 80m2 ID#9095","Savski trg, Beograd, Srbija",185 000 €,57 m²,  Trosoban stan
"Blok 28, 2s u zgradi televizorka ID#8942","Novi Beograd Blok 28 (Potkovica), Beograd, Srbija",184 000 €,66 m²,  Trosoban stan
"Mirijevo, Ljubiše Miodragovića, 56m2 ID#8853","Mirijevo I, Beograd, Srbija",82 000 €,56 m²,  Trosoban stan
Stan na odličnoj lokaciji ID#8520,"Gornji Dorćol, Beograd, Srbija",310 000 €,67 m²,  Trosoban stan
Izuzetan salonac u  starijoj zgradi ID#7824,"Centar (uži), Beograd, Srbija",226 000 €,76 m²,  Trosoban stan
"Odlična lokacija, mereno 57m2 ID#7794","Kalenić pijaca, Beograd, Srbija",189 000 €,53 m²,  Dvosoban stan
"Stepa Stepanović, Druge Srpske Armije ID#7725","Voždovac, Beograd, Srbija",228 000 €,86 m²,  Trosoban stan
PRODAJA STANOVA ČUKARICA,"Čukarica, Beograd, Srbija",160 402 €,69.74 m²,  Dvosoban stan
"Sumice,novogradnja 4,5  dupleks 124m2","Šumice, Beograd, Srbija",334 800 €,124 m²,  Četvorosoban stan
"Sumice,novogradnja dupleks 5,0 stan 142m2","Šumice, Beograd, Srbija",383 400 €,142 m²,  Petosoban+ stan
"Savski venac, Palata pravde - Durmitorska, 165m2, Durmitorska","Palata pravde, Beograd, Srbija",550 000 €,165 m²,  Petosoban+ stan
"Savski venac, Dedinje - Heroja Milana Tepića, 163m2, Heroja Milana Tepića","Dedinje (Beli dvor), Beograd, Srbija",850 000 €,163 m²,  Četvorosoban stan
"Vračar, Pravni fakultet - Kumanovska, 190m2, Kumanovska","Tašmajdan, Beograd, Srbija",499 000 €,190 m²,  Petosoban+ stan
"Savski venac, Slavija - Nemanjina, 171m2, Nemanjina","Slavija, Beograd, Srbija",580 000 €,171 m²,  Petosoban+ stan
"Novi Beograd - Tošin bunar, 125m2, Tošin bunar","Tošin bunar, Beograd, Srbija",437 675 €,125 m²,  Četvorosoban stan
"Stari grad, Skadarlija - Skadarska, 96m2, Skadarska","Skadarlija, Beograd, Srbija",380 000 €,96 m²,  Četvorosoban stan
"Vračar, Čubura - Nikolaja Hartviga, 71m2, Nikolaja Hartviga","Čubura, Beograd, Srbija",354 900 €,71 m²,  Trosoban stan
